,Open,High,Low,Close,Adj Close,Volume,daily_return,volume_change,STD_L=20,SMA_20,EMA_20,RSI_20,MACD,Stochastic_Oscillator_6_20,Bollinger_Upper_Band,Bollinger_Lower_Band,CMF_20,CCI_20,volume_oscillator,force_index,on_balance_volume,aroon_oscillator,volume_price_trend,ultimate_oscillator,state_nominal
EMA_20,0.020724126540365522,0.021691214697252992,0.025904017621472215,0.02712631731532271,0.025666608635903337,-0.18978426045329302,0.36797474339605857,-0.12079272574495606,0.10482721289220165,0.2900684323734997,0.5380514427442611,0.38138398636654364,,0.7518276044896368,-0.0010491454482182653,-0.009274919445993575,0.1269953268348917,0.6008724229326867,,0.2876304436523636,0.03442470271458945,,-0.007548825204453678,,1.0
RSI_20,0.00719447895153011,0.007175237440191665,0.007085206470731641,0.007059869537856393,0.006135274627050882,0.006599252691905149,-0.0025099563468003517,0.00855028594160303,-0.023743510690804152,0.004598728276151269,-0.014900612028350411,-0.003069444203524678,,-0.026739510719802132,0.006856411441288726,0.00804579264301546,0.01593967206896653,-0.02265867015515208,,-0.004525426305463959,0.0272646007346098,,0.0032056716358208684,,1.0
MACD,-0.017988267907265907,-0.014029279058575851,-0.014085168396533166,-0.008951085813396613,-0.009228530966787577,-0.03508297114537611,0.5398124424112505,-0.20263019060457477,-0.006274105698246554,-0.00341155963563084,0.06831818236962116,0.627834696116851,,0.3271638983242522,-0.010260422064957028,-0.008328555892480369,0.011448207308357296,0.020592156237660895,,-0.03641554908190207,0.0031547576304586556,,0.007633793116295964,,1.0
Stochastic_Oscillator_6_20,0.01573112360558656,0.015596102725228754,0.016695018777634293,0.017368182724950904,0.016708704966627547,-0.050963339505633976,0.1004707971424085,-0.06252937605020745,-0.011342050529702484,0.052495023245625994,0.08253397146079565,0.11060978881681302,,0.10475419376044152,0.013738936932450756,0.01405437052963888,0.05793775936703862,0.07545495663606706,,0.0341868982417187,0.0338208593952346,,-0.0039298089539645436,,1.0
CMF_20,-0.02529729609167708,-0.027309591736994623,-0.021062648755801106,-0.02249581678239718,-0.02750844614838328,-0.20495557533291933,0.10300166181800725,-0.01025125960857639,-0.28221428320988867,0.5090186370267153,0.4332310712801636,0.04513182847326717,,0.2828481978536587,-0.05721026863256724,-0.03888734911288617,0.7669490525839527,0.46813819326874,,0.315625352089916,0.055725723020252096,,0.09578613345831229,,1.0
volume_oscillator,0.015781513125415474,0.017380346974818665,0.013481561108942549,0.015021342944577843,0.015672336224293024,0.18403799230864354,-0.02278643929434839,-0.013021832494358855,0.021871659226759595,-0.4035088418747468,-0.3353695312668056,0.016793717152261804,,-0.15053766518060008,0.04034607694863747,0.037515047456795424,-0.27434978071391475,-0.3598094847271849,,-0.34654191390956923,0.0047489150382520025,,-0.006781454652687261,,1.0000000000000002
force_index,0.020889356056945863,0.018711233292345062,0.025695107350232123,0.023709848312243997,0.02095693648922293,-0.27343287220802515,0.14710637342308022,-0.048913227502509066,-0.20543266622959025,0.570285049036803,0.6004149037747021,0.09599657046020342,,0.4061282520533468,-0.01680461392975699,-0.010847065690680623,0.4603624626432966,0.6985260666209748,,0.5276513910729256,0.06061321444629033,,0.029608320778717813,,1.0
on_balance_volume,0.46814857925388653,0.46732446409943246,0.4691988477233541,0.4683485960516129,0.453075909495493,-0.5126142380425593,0.013705840876849073,0.005840785186657369,-0.20163713017987556,0.07385056149920895,0.07275570448144289,-0.0013705016444264214,,0.0696202797170778,0.46153288661967773,0.47139420547725885,0.09408668220497624,0.08244190210201288,,0.03197702772370204,0.7233203292028748,,-0.38456754649204045,,1.0
aroon_oscillator,0.01770992823990559,0.014090657402175135,0.021680736725007428,0.018089029355736128,0.010912713179797865,-0.28819763265653087,0.03131450342019817,0.020597317928083916,-0.4009268212603353,0.6399971355369165,0.4990904280923611,-0.041906474102809406,,0.17753409297952566,-0.022509341612422577,0.0011190452412391026,0.5978303868281217,0.5195048370950263,,0.4116085844088476,0.1357255706762249,,0.07496687087830707,,1.0
volume_price_trend,,,,,,,,,,,,,,,,,,,,,,,,,
